"","year","time","vr","receiver","Afreq","a","tag"
"861220","2021","11:58","VR2W180","302950","A180","1702","53786"
"861222","2021","12:00","VR2W180","302950","A180","1702","53786"
"861226","2021","12:03","VR2W180","302950","A180","1702","53786"
"861230","2021","12:05","VR2W180","302950","A180","1702","53786"
"861236","2021","12:08","VR2W180","302950","A180","1702","53786"
"861238","2021","12:09","VR2W180","302950","A180","1702","53786"
"861241","2021","12:12","VR2W180","302950","A180","1702","53786"
"861255","2021","12:19","VR2W180","302950","A180","1702","53786"
"861260","2021","12:21","VR2W180","302950","A180","1702","53786"
"861263","2021","12:23","VR2W180","302950","A180","1702","53786"
"861266","2021","12:25","VR2W180","302950","A180","1702","53786"
"861273","2021","12:28","VR2W180","302950","A180","1702","53786"
"868453","2021","20:57","VR2W180","302950","A180","1702","53786"
"868502","2021","22:27","VR2W180","302950","A180","1702","53786"
"868529","2021","23:26","VR2W180","302950","A180","1702","53786"
"868531","2021","23:28","VR2W180","302950","A180","1702","53786"
"868534","2021","23:31","VR2W180","302950","A180","1702","53786"
"868539","2021","23:36","VR2W180","302950","A180","1702","53786"
"868541","2021","23:38","VR2W180","302950","A180","1702","53786"
"868548","2021","23:43","VR2W180","302950","A180","1702","53786"
"868550","2021","23:48","VR2W180","302950","A180","1702","53786"
"868563","2021","0:00","VR2W180","302950","A180","1702","53786"
"868566","2021","0:03","VR2W180","302950","A180","1702","53786"
"868567","2021","0:05","VR2W180","302950","A180","1702","53786"
"868574","2021","0:15","VR2W180","302950","A180","1702","53786"
"868576","2021","0:18","VR2W180","302950","A180","1702","53786"
"868583","2021","0:23","VR2W180","302950","A180","1702","53786"
"868584","2021","0:25","VR2W180","302950","A180","1702","53786"
"868586","2021","0:28","VR2W180","302950","A180","1702","53786"
"868594","2021","0:33","VR2W180","302950","A180","1702","53786"
"868598","2021","0:37","VR2W180","302950","A180","1702","53786"
"868600","2021","0:39","VR2W180","302950","A180","1702","53786"
"868603","2021","0:41","VR2W180","302950","A180","1702","53786"
"868608","2021","0:48","VR2W180","302950","A180","1702","53786"
"868622","2021","0:55","VR2W180","302950","A180","1702","53786"
"868624","2021","0:58","VR2W180","302950","A180","1702","53786"
"868632","2021","1:03","VR2W180","302950","A180","1702","53786"
"868634","2021","1:07","VR2W180","302950","A180","1702","53786"
"868643","2021","1:21","VR2W180","302950","A180","1702","53786"
"868647","2021","1:28","VR2W180","302950","A180","1702","53786"
"868654","2021","1:33","VR2W180","302950","A180","1702","53786"
"868655","2021","1:35","VR2W180","302950","A180","1702","53786"
"868657","2021","1:37","VR2W180","302950","A180","1702","53786"
"868664","2021","1:41","VR2W180","302950","A180","1702","53786"
"868666","2021","1:43","VR2W180","302950","A180","1702","53786"
"868669","2021","1:46","VR2W180","302950","A180","1702","53786"
"870117","2021","6:08","VR2W180","302950","A180","1702","53786"
"871022","2021","1:11","VR2W180","301891","A180","1702","53786"
"871026","2021","1:13","VR2W180","301891","A180","1702","53786"
"871028","2021","1:18","VR2W180","301891","A180","1702","53786"
"872145","2021","22:53","VR2W180","302954","A180","1702","53786"
"872150","2021","22:55","VR2W180","302954","A180","1702","53786"
"872151","2021","22:58","VR2W180","302954","A180","1702","53786"
"872154","2021","23:00","VR2W180","302954","A180","1702","53786"
"872160","2021","23:03","VR2W180","302954","A180","1702","53786"
"872162","2021","23:05","VR2W180","302954","A180","1702","53786"
"872166","2021","23:07","VR2W180","302954","A180","1702","53786"
"872257","2021","0:33","VR2W180","302953","A180","1702","53786"
"872260","2021","0:35","VR2W180","302953","A180","1702","53786"
"873613","2021","0:21","VR2W180","302954","A180","1702","53786"
"877263","2021","5:10","VR2W180","302954","A180","1702","53786"
"878847","2021","2:33","VR2W180","302954","A180","1702","53786"
"882733","2021","0:36","VR2W180","302954","A180","1702","53786"
"882763","2021","1:30","VR2W180","302949","A180","1702","53786"
"882891","2021","3:59","VR2W180","301888","A180","1702","53786"
"882893","2021","4:02","VR2W180","301888","A180","1702","53786"
"883302","2021","16:01","VR2W180","302949","A180","1702","53786"
"883304","2021","16:03","VR2W180","302949","A180","1702","53786"
"883308","2021","16:07","VR2W180","302949","A180","1702","53786"
"883312","2021","16:10","VR2W180","302949","A180","1702","53786"
"883314","2021","16:12","VR2W180","302949","A180","1702","53786"
"883317","2021","16:14","VR2W180","302949","A180","1702","53786"
"883321","2021","16:16","VR2W180","302949","A180","1702","53786"
"883324","2021","16:19","VR2W180","302949","A180","1702","53786"
"883326","2021","16:21","VR2W180","302949","A180","1702","53786"
"883328","2021","16:24","VR2W180","302949","A180","1702","53786"
"883334","2021","16:30","VR2W180","302949","A180","1702","53786"
"883335","2021","16:32","VR2W180","302949","A180","1702","53786"
"883344","2021","16:40","VR2W180","302949","A180","1702","53786"
"883351","2021","16:47","VR2W180","302949","A180","1702","53786"
"883352","2021","16:52","VR2W180","302949","A180","1702","53786"
"883354","2021","16:55","VR2W180","302949","A180","1702","53786"
"883358","2021","17:00","VR2W180","302949","A180","1702","53786"
"883362","2021","17:07","VR2W180","302949","A180","1702","53786"
"883370","2021","17:27","VR2W180","302949","A180","1702","53786"
"883375","2021","17:34","VR2W180","302949","A180","1702","53786"
"883380","2021","17:38","VR2W180","302949","A180","1702","53786"
"883382","2021","17:45","VR2W180","302949","A180","1702","53786"
"883385","2021","17:47","VR2W180","302949","A180","1702","53786"
"883388","2021","17:55","VR2W180","302949","A180","1702","53786"
"883392","2021","17:57","VR2W180","302949","A180","1702","53786"
"883394","2021","18:00","VR2W180","302949","A180","1702","53786"
"883397","2021","18:07","VR2W180","302949","A180","1702","53786"
"883399","2021","18:09","VR2W180","302949","A180","1702","53786"
"883401","2021","18:13","VR2W180","302949","A180","1702","53786"
"883403","2021","18:14","VR2W180","302949","A180","1702","53786"
"883404","2021","18:16","VR2W180","302949","A180","1702","53786"
"883407","2021","18:19","VR2W180","302949","A180","1702","53786"
"883409","2021","18:21","VR2W180","302949","A180","1702","53786"
"883410","2021","18:23","VR2W180","302949","A180","1702","53786"
"883412","2021","18:26","VR2W180","302949","A180","1702","53786"
"883416","2021","18:28","VR2W180","302949","A180","1702","53786"
"883419","2021","18:35","VR2W180","302949","A180","1702","53786"
"883425","2021","18:42","VR2W180","302949","A180","1702","53786"
"883426","2021","18:43","VR2W180","302949","A180","1702","53786"
"883428","2021","18:45","VR2W180","302949","A180","1702","53786"
"883430","2021","18:47","VR2W180","302949","A180","1702","53786"
"883437","2021","18:54","VR2W180","302949","A180","1702","53786"
"883439","2021","18:56","VR2W180","302949","A180","1702","53786"
"883442","2021","19:00","VR2W180","302949","A180","1702","53786"
"883444","2021","19:03","VR2W180","302949","A180","1702","53786"
"883446","2021","19:04","VR2W180","302949","A180","1702","53786"
"883448","2021","19:06","VR2W180","302949","A180","1702","53786"
"883450","2021","19:09","VR2W180","302949","A180","1702","53786"
"883453","2021","19:11","VR2W180","302949","A180","1702","53786"
"883455","2021","19:13","VR2W180","302949","A180","1702","53786"
"883457","2021","19:15","VR2W180","302949","A180","1702","53786"
"883458","2021","19:16","VR2W180","302949","A180","1702","53786"
"883459","2021","19:17","VR2W180","302949","A180","1702","53786"
"883463","2021","19:19","VR2W180","302949","A180","1702","53786"
"883464","2021","19:21","VR2W180","302949","A180","1702","53786"
"883466","2021","19:24","VR2W180","302949","A180","1702","53786"
"883468","2021","19:27","VR2W180","302949","A180","1702","53786"
"883469","2021","19:29","VR2W180","302949","A180","1702","53786"
"883473","2021","19:32","VR2W180","302949","A180","1702","53786"
"883478","2021","19:37","VR2W180","302949","A180","1702","53786"
"883480","2021","19:39","VR2W180","302949","A180","1702","53786"
"883484","2021","19:41","VR2W180","302949","A180","1702","53786"
"883485","2021","19:44","VR2W180","302949","A180","1702","53786"
"883488","2021","19:49","VR2W180","302949","A180","1702","53786"
"883492","2021","19:52","VR2W180","302949","A180","1702","53786"
"883493","2021","19:54","VR2W180","302949","A180","1702","53786"
"883496","2021","19:55","VR2W180","302949","A180","1702","53786"
"883497","2021","19:57","VR2W180","302949","A180","1702","53786"
"883499","2021","20:00","VR2W180","302949","A180","1702","53786"
"883502","2021","20:02","VR2W180","302949","A180","1702","53786"
"883503","2021","20:04","VR2W180","302949","A180","1702","53786"
"883506","2021","20:07","VR2W180","302949","A180","1702","53786"
"883508","2021","20:10","VR2W180","302949","A180","1702","53786"
"883512","2021","20:12","VR2W180","302949","A180","1702","53786"
"883514","2021","20:14","VR2W180","302949","A180","1702","53786"
"883517","2021","20:16","VR2W180","302949","A180","1702","53786"
"883518","2021","20:18","VR2W180","302949","A180","1702","53786"
"883520","2021","20:19","VR2W180","302949","A180","1702","53786"
"883523","2021","20:21","VR2W180","302949","A180","1702","53786"
"883524","2021","20:23","VR2W180","302949","A180","1702","53786"
"883525","2021","20:25","VR2W180","302949","A180","1702","53786"
"883527","2021","20:26","VR2W180","302949","A180","1702","53786"
"883529","2021","20:28","VR2W180","302949","A180","1702","53786"
"883531","2021","20:30","VR2W180","302949","A180","1702","53786"
"883533","2021","20:32","VR2W180","302949","A180","1702","53786"
"883534","2021","20:34","VR2W180","302949","A180","1702","53786"
"883535","2021","20:36","VR2W180","302949","A180","1702","53786"
"883537","2021","20:38","VR2W180","302949","A180","1702","53786"
"883540","2021","20:40","VR2W180","302949","A180","1702","53786"
"883545","2021","20:42","VR2W180","302949","A180","1702","53786"
"883546","2021","20:44","VR2W180","302949","A180","1702","53786"
"883548","2021","20:46","VR2W180","302949","A180","1702","53786"
"883551","2021","20:49","VR2W180","302949","A180","1702","53786"
"883553","2021","20:51","VR2W180","302949","A180","1702","53786"
"883555","2021","20:52","VR2W180","302949","A180","1702","53786"
"883556","2021","20:55","VR2W180","302949","A180","1702","53786"
"883557","2021","20:56","VR2W180","302949","A180","1702","53786"
"883561","2021","20:59","VR2W180","302949","A180","1702","53786"
"883563","2021","21:00","VR2W180","302949","A180","1702","53786"
"883565","2021","21:02","VR2W180","302949","A180","1702","53786"
"883583","2021","21:25","VR2W180","301888","A180","1702","53786"
"883600","2021","21:53","VR2W180","301888","A180","1702","53786"
